name,group,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Albania,Europe,0,0.073893279,0.10673042,0.181875047,0.358248786,0.969804574,12.75923855,27.54243185,35.40733402,40.30867293,48.70596473,60.50436434,73.27070842,58.45331469,77.16738972,84.02413769,96.3933945
Algeria,Africa,0.016580899,0.040643551,0.059501588,0.060659788,0.239210526,0.281654835,0.322765829,1.431989621,4.533907979,15.0710173,41.53845929,62.88327422,81.29012327,78.51588828,93.64711494,92.42126075,98.9875902
Argentina,South America,1.163084605,1.890265151,5.625303077,7.391416802,10.53300661,17.56789993,18.07348141,17.43814088,20.63677588,35.24285031,57.27961101,80.74649221,102.6257449,117.1083875,131.0023571,132.880086,134.9211144
Armenia,Asia,0,0.009457204,0.159497977,0.251873452,0.264056708,0.568447429,0.831884559,2.330853915,3.737199213,6.638418448,10.37341069,41.03667809,61.03775282,46.83206418,71.03776071,125.008538,103.5663737
Australia,Oceania,12.37415015,21.77990754,24.71234651,26.25050454,33.32824218,44.67670207,57.43417616,64.62949928,72.31307069,81.97446237,90.27854017,95.25510508,100.662936,102.8176451,101.359218,101.0401114,108.3353549
Azerbaijan,Asia,0.077271811,0.216689971,0.505453081,0.814980802,4.602383886,5.183261714,8.911715903,9.591495525,12.61947826,17.17665126,26.1064926,38.1936029,51.22994958,73.21436558,85.55706194,99.0457981,108.7479044
Bangladesh,Asia,0.002127896,0.003335316,0.021246968,0.06009454,0.117124699,0.21529061,0.394104846,0.800646905,0.999891821,2.006414024,6.401687906,13.43906744,23.87521729,30.68498876,35.65935407,46.16922196,56.48078539
Belarus,Europe,0.057396023,0.063918135,0.080034244,0.119666344,0.232074778,0.490693302,1.381934322,4.64330238,11.27251693,22.68296241,41.72475767,60.96049811,71.54437581,83.96095733,100.5207961,107.6857389,111.8778807
Brazil,South America,0.794283348,1.520089834,2.726687053,4.349348021,8.743180198,13.29403443,16.25182871,19.45513659,25.53128953,35.67944477,46.3528917,53.16001917,63.7414822,78.64616123,90.01936334,104.1024405,123.1758591
Bulgaria,Europe,0.250340329,0.321382384,0.853865964,1.562061055,4.338641641,9.217904518,19.50234789,32.91090742,44.65327494,60.72180897,80.69297329,107.3333056,129.5433297,137.3807092,138.6089602,136.1020835,140.6781236
Burkina Faso,Africa,0,0.004776127,0.013298992,0.023491633,0.042136262,0.20534387,0.602333531,0.852933459,1.777404654,2.871258739,4.462130866,6.952475421,12.33664652,19.49145802,23.92086098,34.65874749,45.27445884
Canada,North America,8.838208548,11.82392249,14.05348741,17.75255685,22.74578153,28.45696068,34.38795765,37.95186883,42.0487335,47.02036605,52.71004029,57.46326052,61.48890022,66.28819759,70.70997244,70.66366699,75.27990824
Chile,South America,1.369340714,2.18357627,2.761044143,6.411580645,14.84212678,22.0594339,32.68852617,39.56103371,45.54119844,57.40927978,64.83713442,75.60292184,83.89941018,88.09806834,97.01862561,116.0021265,129.7080782
China,Asia,0.298932457,0.558910987,1.069031101,1.910537629,3.437617453,6.71805812,11.33262297,16.01987612,20.87163278,25.74475803,30.08626177,35.07260937,41.41607884,48.27650502,55.97490921,64.04089229,73.18776926
Colombia,South America,0.753264372,1.408838788,3.34814346,4.683327775,5.029160042,5.675464186,8.077811032,11.1898797,14.82368146,24.53793392,50.76605419,68.11229219,76.5261268,91.90986394,92.34584564,96.07475053,98.45142015
Croatia,Europe,0.721524797,1.394612415,2.603456141,3.982331975,6.497737246,22.92736509,39.15994663,51.78220484,56.93370285,63.72594629,82.16369885,99.12961617,113.7502867,103.0868731,105.9886907,111.9232944,116.3706103
Cyprus,Asia,5.196604257,8.105217474,10.32468976,12.82174396,16.38555857,23.14485198,32.69483984,42.65170828,55.2783494,64.7991841,75.78266487,82.7824267,92.97148614,94.40464772,89.64192603,93.69581035,97.70546068
Ecuador,South America,0.477666752,0.516044701,1.074443233,2.030270948,3.154256421,3.90613286,6.844722243,12.22534867,18.46444778,26.83177492,46.5227542,62.20844317,71.77023277,83.1236759,92.84925653,102.1845607,104.5455987
Egypt,Africa,0.011871653,0.011674496,0.101835544,0.13900951,0.723735672,2.010246537,4.055566575,6.405021119,8.108611275,10.4922235,18.36793999,23.82092697,39.11237088,52.71313013,69.43661504,87.10560512,101.0763385
Estonia,Europe,2.113680061,4.895307337,10.27659872,17.76449317,28.04425049,40.63471868,47.78316773,64.93965993,77.68313294,93.12410036,107.3888236,123.4116893,125.2425955,121.034985,117.0620194,123.23911,138.983109
Ethiopia,Africa,0,0,0,0,0.010552882,0.027077721,0.040859548,0.07295555,0.072507899,0.214450915,0.552933815,1.140493735,1.554969531,2.46018263,4.990534841,8.262854643,16.67172011
Finland,Europe,20.34389743,29.30636347,42.07950682,55.25085886,63.41410637,72.07342603,80.52925839,86.90604073,91.10525765,95.44462404,100.4892511,107.6731658,114.924474,128.4719884,144.1530224,156.3972049,166.0238042
France,Europe,2.251719658,4.241824107,9.983281569,19.16382924,36.48157704,49.20143081,62.29491746,64.55140568,69.29097497,73.50896438,78.83730258,84.17013472,89.65659116,93.35504274,95.44434226,100.6570949,105.0282155
Georgia,Asia,0.002959007,0.046070617,0.609190368,1.233630241,2.772926491,4.103469093,6.431285218,10.88662556,15.56329707,18.59995792,26.22976159,38.35145431,58.87092172,62.7008583,64.86602662,91.44707879,102.346648
Germany,Europe,4.546595161,6.705568942,10.05271493,16.89486472,28.47408316,58.53378207,68.12709457,71.72940284,78.56058484,86.42540783,96.03863615,103.7751488,116.6229321,127.9450964,127.4188883,127.0435825,132.2987788
Ghana,Africa,0.036477238,0.073244862,0.122462581,0.22839419,0.374156937,0.678537308,1.241817997,1.922879877,3.85974953,8.025602002,13.28366807,23.48719626,33.47973792,49.7349659,63.41781842,71.48686263,84.77929582
Guatemala,South America,0.299520502,0.423767149,0.612449632,1.039293104,3.078096727,7.625018232,9.95810951,13.36472957,16.81830986,25.54063906,35.46443646,55.07324795,89.06133481,109.1871167,123.3285161,125.5685534,140.3756415
Haiti,North America,0,0,0,0.119871982,0.294278358,0.636178598,1.040727003,1.566827662,3.526015771,4.341863576,5.351299664,12.65938161,26.01875661,32.86658672,36.98206481,40.02703025,41.48645166
Hungary,Europe,2.564995287,4.586972281,6.858056024,10.42528862,15.90393558,30.12845054,48.77363149,67.78153319,78.39139384,86.3189789,92.3967397,99.02075401,109.8317244,121.9746762,117.8982583,120.3150052,117.2968185
India,Asia,0.007950347,0.033379056,0.088134708,0.117372005,0.181837897,0.33941564,0.610430941,1.194091181,3.04642698,4.650080995,7.906720258,14.35129379,19.89996983,29.1292787,43.47705819,61.4226033,71.99905491
Indonesia,Asia,0.105638236,0.278119863,0.446775337,0.512809688,1.054537209,1.719496677,3.016115387,5.341822661,8.337231689,13.50655605,20.63762286,27.75026888,40.17301023,59.83296554,68.94143553,88.08496671,97.71953762
