name,group,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Albania,Europe,899.7829368,990.653204,895.560973,1013.514317,1118.171505,1200.137437,1281.842804,1313.722725,1381.040832,1454.022854,1525.723589,1594.495067,1681.61391,1804.419415,1857.352947,1915.424459,1965.70723
Algeria,Africa,1660.004192,1698.333823,1690.237538,1750.6509,1781.142464,1794.405233,1814.41513,1871.921986,1971.512803,2043.135713,2115.186028,2124.957754,2155.485231,2173.787903,2192.703976,2231.980246,2255.225482
Argentina,South America,7179.938826,7484.004016,7994.115547,8205.47459,7839.514938,7695.594073,7283.062916,6428.393836,6933.155594,7492.249508,8107.975365,8717.176296,9388.688523,9935.834246,9933.229024,10749.31922,11601.63022
Armenia,Asia,461.9193605,496.8729112,519.4908922,562.0276149,584.0454354,621.4248263,683.0967842,774.3699779,883.2457014,975.0468166,1109.033787,1253.8133,1424.190562,1520.033931,1302.45698,1326.710864,1384.085162
Australia,Oceania,18690.43658,19183.14039,19709.6605,20387.77284,21154.75805,21708.03726,21824.08607,22402.99102,22825.57102,23498.26199,23929.1644,24295.08138,24765.5489,25190.72063,25007.69776,25190.83986,25306.82494
Azerbaijan,Asia,487.7263633,489.1025898,512.5026379,558.427421,594.5106711,655.0974326,714.3956873,784.2478926,865.5012737,945.4691735,1182.918447,1573.64218,1945.637549,2110.970428,2259.881745,2344.810935,2338.896558
Bangladesh,Asia,311.1665705,318.9204692,329.396045,339.8583201,349.6507414,363.6399273,375.9934601,385.8060432,399.3959566,417.9536838,436.6881834,459.8625139,483.970868,508.5557725,532.0769985,558.062385,588.3691778
Belarus,Europe,920.0339044,948.9599152,1061.634484,1156.297823,1199.662852,1273.049124,1337.849959,1411.756736,1518.99982,1701.450906,1871.393671,2067.609425,2253.464111,2510.27848,2539.508991,2739.950643,2890.345675
Brazil,South America,3606.005917,3627.626996,3693.27582,3639.181673,3594.86982,3696.146772,3692.840177,3739.919389,3733.992419,3899.255355,3976.619168,4090.555803,4297.823854,4478.809189,4424.758692,4716.614125,4803.398244
Bulgaria,Europe,1518.050678,1388.110343,1373.605637,1450.025425,1486.818473,1579.34824,1676.43678,1789.094653,1898.329992,2036.554227,2178.445294,2332.363131,2494.352654,2661.640139,2527.938377,2555.177101,2618.876037
Burkina Faso,Africa,176.2585051,190.3320226,196.8145029,205.3897943,214.4962792,212.3753864,220.1479407,223.9952322,235.1460232,239.0119506,252.2147193,261.4805054,263.0149271,270.1248597,269.9706467,282.6969373,285.8030263
Canada,North America,20169.53897,20276.45211,20911.11206,21580.31775,22586.44127,23559.50369,23738.89538,24214.92928,24425.87539,24936.82539,25437.65134,25943.73602,26229.74308,26101.76407,25069.86915,25575.21698,25933.28833
Chile,South America,4258.237391,4504.721321,4734.56415,4822.819463,4984.1018,5144.589254,5254.015345,5306.721216,5455.926747,5723.690145,5979.068028,6190.109402,6410.806732,6581.357952,6451.631126,6781.696484,7122.938458
China,Asia,657.9926002,716.2451166,774.884634,827.348598,882.5523218,949.1780621,1020.519994,1105.952557,1208.993961,1323.219929,1464.107627,1640.861518,1864.102702,2032.61498,2208.403948,2426.332466,2639.54156
