name,group,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,Europe,29.10,27.90,26.80,25.50,24.40,23.20,22.10,21.00,20.00,19.10,18.30,17.40,16.70,16.00,15.4,14.8,14.3,13.8,13.3,12.9,12.5
Algeria,Africa,36.30,35.70,35.10,34.70,34.40,33.90,33.30,32.40,31.30,30.10,28.80,27.60,26.40,25.30,24.3,23.5,22.8,22.4,22.1,22,21.9
Argentina,South America,20.80,20.20,19.60,19.10,18.50,18.00,17.60,17.10,16.60,16.00,15.30,14.60,14.10,13.70,13.4,13,12.7,12.3,11.9,11.5,11.1
Armenia,Asia,33.70,32.10,30.60,29.20,27.90,26.60,25.30,24.20,23.00,21.90,20.80,19.80,18.80,17.90,17,16.1,15.3,14.6,13.8,13.2,12.6
Australia,Oceania,5.70,5.60,5.40,5.30,5.30,5.10,5.00,5.00,4.90,4.90,4.80,4.70,4.50,4.40,4.2,4.1,3.8,3.6,3.4,3.2,3
Azerbaijan,Asia,75.20,73.60,71.20,68.10,64.50,60.60,56.80,53.10,49.70,46.70,44.00,41.50,39.30,37.30,35.5,33.9,32.5,31.2,30,28.9,27.9
Bangladesh,Asia,81.00,77.40,74.00,70.60,67.40,64.40,61.40,58.60,55.90,53.40,50.80,48.40,45.90,43.60,41.3,39.2,37.2,35.3,33.5,32.1,30.7
Belarus,Europe,14.40,14.40,14.20,13.60,12.60,11.40,10.30,9.30,8.60,7.90,7.40,6.80,6.20,5.60,5.1,4.7,4.3,4,3.8,3.5,3.4
Brazil,South America,39.70,37.20,34.80,32.40,30.20,28.10,26.10,24.30,22.50,21.00,19.50,18.20,17.10,16.20,15.4,14.8,14.4,14.3,14.3,14.4,14.6
Bulgaria,Europe,19.40,19.50,19.40,19.20,18.60,17.90,17.10,16.30,15.50,14.60,13.60,12.90,12.30,11.80,11.5,11.2,10.9,10.5,10.1,9.7,9.3
Burkina Faso,Africa,101.40,100.50,99.40,98.30,97.30,96.20,95.00,93.40,91.40,88.90,86.00,82.70,79.20,75.80,72.5,69.7,67.3,65.4,63.7,62.2,60.9
Canada,North America,5.70,5.60,5.40,5.40,5.30,5.20,5.30,5.30,5.20,5.20,5.30,5.20,5.10,5.00,5,4.9,4.7,4.7,4.6,4.4,4.3
Chile,South America,11.00,10.50,10.20,10.10,9.60,9.20,8.70,8.30,8.00,7.90,7.70,7.60,7.60,7.60,7.5,7.6,7.5,7.4,7.3,7.2,7
China,Asia,37.7,36.4,35,33.5,31.9,30.2,28.3,26.2,24.2,22.2,20.30,18.70,17.20,15.80,14.6,13.5,12.5,11.5,10.6,9.8,9.2
Colombia,South America,25.00,24.20,23.40,22.60,21.90,21.20,20.60,20.00,19.40,18.90,18.40,17.80,17.30,16.90,16.4,15.9,15.4,14.9,14.5,14.1,13.6
Croatia,Europe,8.70,8.30,8.00,7.70,7.40,7.10,6.90,6.60,6.30,6.10,5.80,5.60,5.30,5.00,4.8,4.6,4.3,4.1,4,3.8,3.6
Cyprus,Asia,7.80,7.40,6.90,6.40,5.90,5.50,5.10,4.70,4.40,4.20,3.90,3.70,3.50,3.30,3.1,3,2.9,2.8,2.7,2.6,2.5
Ecuador,South America,35.20,33.60,32.10,30.70,29.50,28.40,27.40,26.50,25.70,25.00,24.30,23.70,23.10,22.50,21.9,21.3,20.7,20.1,19.5,19,18.4
Egypt,Africa,49.40,46.60,44.00,41.40,39.10,37.00,35.10,33.40,31.90,30.50,29.20,28.10,27.10,26.10,25.1,24.3,23.4,22.6,21.8,21,20.3
Estonia,Europe,12.8,12,11.1,10.3,9.6,8.80,8.20,7.50,6.90,6.30,5.80,5.30,4.80,4.40,4,3.6,3.2,2.9,2.7,2.5,2.3
Ethiopia,Africa,105.60,102.10,98.70,95.60,92.60,89.50,86.20,82.50,78.40,74.10,69.60,65.30,61.00,57.10,53.6,50.8,48.3,46.2,44.5,42.9,41.4
Finland,Europe,4.30,4.00,3.90,3.80,3.60,3.50,3.40,3.40,3.30,3.20,3.10,2.90,2.90,2.70,2.6,2.5,2.4,2.2,2.1,2,1.9
France,Europe,5.30,5.00,4.80,4.60,4.50,4.40,4.40,4.20,4.00,3.90,3.80,3.70,3.60,3.50,3.5,3.5,3.5,3.5,3.6,3.6,3.5
Georgia,Asia,38.10,37.10,35.90,34.50,32.90,31.20,29.30,27.40,25.50,23.60,21.90,20.20,18.60,17.20,16,14.9,13.8,12.8,12,11.3,10.6
Germany,Europe,5.30,5.00,4.80,4.60,4.50,4.40,4.30,4.20,4.10,4.00,3.90,3.80,3.70,3.60,3.6,3.5,3.4,3.3,3.3,3.2,3.1
Ghana,Africa,72.00,71.00,69.80,68.40,66.70,64.90,63.00,61.20,59.60,58.10,56.80,55.60,54.40,53.10,51.7,50.2,48.6,47,45.5,44.2,42.8
Guatemala,South America,48.50,46.60,44.70,43.00,41.40,39.90,38.50,37.10,35.90,34.60,33.50,32.30,31.20,30.20,29.3,28.4,27.5,26.6,25.9,25.1,24.3
Haiti,North America,87.80,85.10,82.40,79.90,77.40,75.00,72.80,70.70,68.90,67.20,65.60,64.10,62.70,61.30,60,85.5,57.5,56.2,54.8,53.5,52.2
Hungary,Europe,12.1,11.5,11.1,10.7,10.2,9.7,9.1,8.6,8,7.5,7.2,6.8,6.5,6.2,5.9,5.7,5.5,5.4,5.4,5.3,5.3
India,Asia,77.50,75.40,73.10,70.90,68.60,66.40,64.20,62.00,59.90,57.80,55.80,53.90,51.90,50.00,48.2,46.3,44.4,42.6,40.9,39.3,37.9
Indonesia,Asia,50.8,48.7,46.7,44.7,42.9,41.1,39.4,37.8,36.3,36,33.40,32.10,30.90,29.70,28.5,27.4,26.3,25.3,24.4,23.6,22.8
Iran,Asia,36.20,34.70,33.20,31.70,30.10,28.60,27.10,25.60,24.30,23.00,21.70,20.50,19.40,18.30,17.3,16.4,15.7,15.1,14.5,13.9,13.4
Iraq,Asia,38.90,38.30,37.60,37.00,36.40,35.80,35.20,34.60,34.10,33.50,33.00,32.40,31.80,31.20,30.6,30,29.3,28.7,27.9,27.2,26.5
Italy,Europe,6.40,6.00,5.60,5.30,5.00,4.70,4.40,4.30,4.00,3.80,3.70,3.70,3.60,3.50,3.5,3.4,3.3,3.2,3.1,3,2.9
Japan,Asia,4.10,4.00,3.80,3.60,3.40,3.30,3.10,3.00,2.90,2.90,2.70,2.70,2.60,2.50,2.4,2.4,2.3,2.2,2.1,2.1,2
Jordan,Asia,26.2,25.5,24.9,24.3,23.8,23.2,22.6,22.1,21.5,20.9,20.4,19.9,19.3,18.8,18.3,17.8,17.3,16.8,16.3,15.8,15.4
Kazakhstan,Asia,44.80,44.00,42.70,41.10,39.40,37.50,35.70,33.90,32.10,30.30,28.60,26.80,24.80,23.00,21.1,19.3,17.5,16,14.6,13.5,12.6
