name,group,Labour Unions,The Press,Womens Organizations,The Police,The Parliament,The Church,Political Parties,The Armed Forces,Television,The Civil Services,Major Companies,The Government
Argentina,SouthAmerica,0.0742,0.3632,0.3953,0.2136,0.1361,0.5553,0.0776,0.3207,0.3313,0.0812,0.2537,0.3792
Australia,Oceania,0.2789,0.1146,0.6111,0.8316,0.3405,0.3849,0.1386,0.8367,0.1817,0.3886,0.2982,0.3961
Brazil,SouthAmerica,0.4549,0.4335,0.6615,0.4481,0.2495,0.7743,0.2103,0.6973,0.4165,0.5239,0.5755,0.4627
Bulgaria,Europe,0.2239,0.5084,0.4125,0.5483,0.2091,0.6084,0.1729,0.7245,0.6717,0.4217,0.3345,0.3409
Canada,NorthAmerica,0.3204,0.3378,0.7295,0.8170,0.3809,0.5967,0.2344,0.7195,0.3242,0.5571,0.3675,0.3925
Chile,SouthAmerica,0.3674,0.4442,0.5793,0.5714,0.2453,0.6959,0.1786,0.5814,0.4684,0.3498,0.3633,0.4688
China,Asia,0.7151,0.7078,0.8449,0.7840,0.9166,0.3990,0.8636,0.9152,0.7503,0.8562,0.5559,0.9241
Taiwan,Asia,0.2571,0.1657,0.5637,0.3739,0.1403,0.3059,0.1017,0.4216,0.1314,0.4014,0.3096,0.3246
Colombia,SouthAmerica,0.2796,0.4439,0.4376,0.4980,0.2532,0.8040,0.1931,0.6106,0.4729,0.3187,0.4684,0.5101
Cyprus,Asia,0.4032,0.3477,0.4457,0.6486,0.4900,0.6587,0.3236,0.6787,0.3737,0.5381,0.3938,0.5450
Ethiopia,Africa,0.2626,0.2652,0.4472,0.3208,0.2409,0.6077,0.3909,0.4143,0.2778,0.3299,0.3659,0.2638
Finland,Europe,0.6255,0.3320,0.6315,0.9169,0.5610,0.6424,0.2831,0.8785,0.5160,0.6008,0.4537,0.6424
France,Europe,0.3874,0.3848,0.4893,0.7126,0.3547,0.4712,0.1640,0.6836,0.3468,0.5430,0.3951,0.2913
Georgia,Asia,0.2667,0.3122,0.4640,0.4717,0.2495,0.9425,0.1817,0.6955,0.3347,0.4053,0.3766,0.3315
Germany,Europe,0.3210,0.2935,0.5729,0.7381,0.2189,0.3763,0.1282,0.5011,0.3422,0.3098,0.2676,0.2343
Ghana,Africa,0.5027,0.5632,0.6705,0.5475,0.6489,0.9028,0.4067,0.7636,0.7090,0.6168,0.5870,0.7130
Guatemala,SouthAmerica,0.2269,0.4522,0.5041,0.2518,0.1168,0.8534,0.1198,0.3704,0.4844,0.1531,0.5157,0.3628
Hungary,Europe,0.2706,0.2131,0.5817,0.4727,0.1726,0.4786,0.0917,0.4015,0.3280,0.4486,0.2930,0.1673
India,Asia,0.5450,0.7581,0.6469,0.6411,0.6237,0.8350,0.4642,0.8333,0.7489,0.5434,0.5138,0.5486
Indonesia,Asia,0.4509,0.5193,0.6696,0.5066,0.3676,0.9438,0.3054,0.7436,0.6151,0.5631,0.4577,0.5598
